geneSymbol	male_CryptoDB_46_rep_1	male_CryptoDB_46_rep_2	male_CryptoDB_46_rep_3	male_CryptoDB_46_rep_4	female_in_vitro_CryptoDB_46_rep_1	female_in_vitro_CryptoDB_46_rep_2	female_in_vitro_CryptoDB_46_rep_3	female_in_vitro_CryptoDB_46_rep_4	female_in_vivo_CryptoDB_46_rep_1	female_in_vivo_CryptoDB_46_rep_2	female_in_vivo_CryptoDB_46_rep_3	female_in_vivo_CryptoDB_46_rep_4	asexual_CryptoDB_46_rep_1	asexual_CryptoDB_46_rep_2	asexual_CryptoDB_46_rep_3	asexual_CryptoDB_46_rep_4
cgd2_3060-RA	3.685664345616009	2.994834092075846	5.699282571018505	4.8399785755109255	5.37593003673117	5.799594797354396	6.249434210217503	5.076087786784767	4.49740299955023	5.255627019719577	5.44918021725341	4.465858302116575	2.23292172504478	0.13242993892958585	0.13242993892958585	1.4238208043496086
cgd2_3070-RA	3.7902568322881827	2.7629896540647874	4.120001816873105	2.6386925514850343	5.294946825889351	4.9512263251269895	5.017387223258868	4.179595161545524	7.277693828272364	6.7318719232433395	6.474954363863093	7.050548307303503	6.807857653965536	5.862159740571289	6.806029699751283	6.525902229873456
cgd2_3080-RA	5.371922192471883	5.211016015048095	4.1113413189711085	4.808587303490773	2.693010906948694	6.104199637069845	5.514720815448714	6.639883747970787	5.792046714243045	4.704975946003318	4.400874828191293	6.5673365665329815	6.054349568522408	2.754447728386141	5.706399350918556	6.335800987687471
cgd2_3090-RA	9.690092854389968	9.775836695369724	9.256448984312415	9.73367436880137	10.150859225567487	9.944988608237887	10.232036875356185	9.784160765951754	10.79459390563144	10.547443444873256	10.298625292956928	10.629325207815704	10.658793999084352	9.868945473845812	10.357439229664532	10.695726248248217
cgd2_310-RA	5.314188071333963	5.405054178972822	4.4693279538878175	5.044943131938392	7.021940347405855	4.659288534139701	3.614660965597646	3.117934246291127	5.778357117463525	6.184030712259322	6.035848709721371	6.506372093861076	7.131026703059106	7.034097994395787	6.624501623142797	7.048637123648846
cgd2_3100-RA	6.228027501068736	6.806559027167534	6.606292353368469	7.139437555983489	6.462242738746464	6.769490747758165	6.01729296290931	6.255670337418546	5.005523586075477	5.114323515465455	5.346264880715224	4.81947563856783	5.807265519539863	4.55690867616063	6.062504306795591	5.396006864254063
cgd2_3110-RA	9.097326436860573	9.348105716311256	8.012057597015767	9.127908745991396	9.575333192343273	9.926397949632019	9.944788258758791	9.61138708699696	10.789173147441291	10.821820207183153	10.621734376049899	10.74871233874852	10.827274197173354	10.402237621930416	10.966846454463298	10.870172580789683
cgd2_3120-RA	5.364553291734903	5.000875336664334	6.280988763992056	5.608407510751822	4.359575182017461	5.295402960773534	4.838871830290671	4.956249703915498	5.746392213280045	5.879310461054186	5.976947436344284	3.662116501389054	5.094804971452279	4.857150174937009	3.650906923090412	4.097023610711824
cgd2_3130-RA	3.5486611983431318	4.241610123555592	6.268153318572908	3.7897943625170667	2.6968057959384173	3.4326730520096986	3.6190871983139967	0.13242993892958843	4.174603310146005	4.173514529480967	4.568888575337322	0.13242993892958843	0.13242993892958843	2.7582748663197934	0.13242993892958585	0.13242993892958585
cgd2_3140-RA	6.705046625356371	6.818013632671507	5.153595283319422	7.673014965665728	6.23107409314407	6.819789071277913	6.4750585785685155	5.927185404584318	7.731520598973539	7.289560866993088	7.735141866670487	6.055124640188592	0.13242993892958843	0.13242993892958585	1.163451823456133	0.13242993892958585
cgd2_3150-RA	4.037165266295392	4.878176520425718	4.830359254841332	4.255293404521638	3.549043400435478	2.553891000676327	3.5986712642606906	4.0074732772833395	3.1189136897062992	3.4551564112648876	3.650049798045286	0.13242993892958843	0.13242993892958843	0.13242993892958585	0.13242993892958585	2.0038971129515777
cgd2_3170-RA	3.6066568434539605	3.786243335860967	2.1543623457220527	2.739436788076692	4.359869414505041	3.411694945574835	3.597819666771517	3.101777043513937	4.903229680788219	4.88344827534705	5.061313911209601	3.138572007309812	3.2276261641113084	4.549094825752566	4.281271890245907	3.06662550901241
cgd2_3180-RA	4.926278922382227	5.819431348001249	2.801092114096162	5.859959747931079	6.694012213720225	5.9490351318428045	5.520264229697711	5.292043785789909	4.825767873266648	4.762137484914393	4.591886978279585	5.904810541739114	5.2521660505199455	4.881009870583592	5.389548170868651	5.307806738259786
cgd2_3190-RA	7.003861043693512	6.930764323190704	6.42974477921962	6.1519627189091	6.306954055074918	6.702522417177474	6.133589218160958	5.747906368641662	6.805017719338825	6.642828051819874	6.47354334564982	6.2951309615534115	6.366281832078199	5.835915703127205	5.957280168349714	5.824626543003962
cgd2_3200-RA	8.371904390585657	8.374456259311268	7.574214626906766	7.869997653490817	8.137059741907525	8.803936184551675	9.113985712307972	7.725905556065199	7.318208108146533	6.514947359115391	6.0417260609233265	7.936912151702996	9.110419245615976	7.664017610780071	8.017393137271059	8.575283598455634
cgd2_3210-RA	5.8856663457480884	6.176248019540571	6.290330497781961	6.289110607549412	5.069159699701526	4.670337062988456	5.525707241419578	3.128028852715442	2.646189696847584	3.317534909144311	3.9136866460692157	3.164919701513713	3.8687366092946753	4.886378769434978	4.544929628903363	2.0251156844620577
cgd2_3220-RA	7.47564994572369	7.144892081926925	7.486394467914726	7.381626361172964	7.596579540570306	7.098263415672948	8.005151025231228	7.497353709427662	8.254221843802592	7.0628848655774	6.666295685072202	8.756730898932572	9.455242003237421	7.877881401077405	8.961200622526926	8.995627427758686
cgd2_3230-RA	8.086533075226088	8.465519445051214	7.2947238707434074	8.269909542001743	10.455843629512529	9.764589756870947	9.913706423098809	9.510853582596061	9.356142928586623	9.398205390293283	9.320497412217756	8.41494673254146	6.7889918747588895	6.206005943336503	6.131261274292336	7.001809664703208
cgd2_3240-RA	7.559258641995519	7.595081770494897	7.696873414654023	7.772604870285115	8.675442196386845	8.65756569531235	8.819065260485642	8.862570185892913	8.247569038942792	9.109014621399142	8.866916543998892	8.279413799372106	6.293747418622316	5.134348654167951	5.8634236116184155	5.725616174359222
cgd2_3250-RA	4.140045840011641	3.0015949034323	4.916685514210948	6.171618346816653	6.9934077717975764	7.186238879967939	7.2682896382787145	5.5144096865747745	7.105224197427646	8.21226045502875	8.149688049586704	7.077570293060568	4.590420945788265	4.539306728625131	5.677945669429231	4.907727787087356
