geneSymbol	WT_30hrs_vehicle_rep_1	WT_30hrs_vehicle_rep_2	WT_30hrs_vehicle_rep_3	WT_30hrs_Shield_rep_1	WT_30hrs_Shield_rep_2	WT_30hrs_Shield_rep_3	MybM_OE_30hrs_vehicle_rep_1	MybM_OE_30hrs_vehicle_rep_2	MybM_OE_30hrs_vehicle_rep_3	MybM_OE_30hrs_Shield_rep_1	MybM_OE_30hrs_Shield_rep_2	MybM_OE_30hrs_Shield_rep_3
cgd1_1010-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	4.45271675604056	3.832455755507526	3.832455755507526	4.340649973106039	3.832455755507523	3.832455755507523	3.832455755507523	4.431837137305568
cgd1_1040-RA	3.832455755507526	4.439606720890312	3.832455755507523	4.418034900617803	4.45271675604056	4.9546143527451205	5.1366267606651155	4.340649973106039	4.9591512117761	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_1060-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.715715055934027	3.832455755507523	4.818477123749131	3.832455755507523	4.854030394174543
cgd1_1063-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	4.092196278440149	3.832455755507523	4.1823937218628995	4.163052460435096
cgd1_1070-RA	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	4.092196278440149	3.832455755507523	4.1823937218628995	4.163052460435096
cgd1_1110-RA	4.885550255049628	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507523	4.499995579565435	3.832455755507526	4.340649973106039	3.832455755507523	4.408114233712773	4.463803748905587	3.832455755507526
cgd1_1120-RA	3.832455755507526	3.832455755507526	4.4365802409010335	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.340649973106039	3.832455755507523	3.832455755507523	5.236832996966132	3.832455755507526
cgd1_1140-RA	4.453030804483815	4.439606720890312	4.8611041283824115	4.833380623280831	3.832455755507523	3.832455755507526	4.407580201128971	4.340649973106039	4.9591512117761	4.818477123749131	5.236832996966132	5.446113335078906
cgd1_1170-RA	4.453030804483815	3.832455755507526	3.832455755507523	3.832455755507526	4.8850848317771645	3.832455755507526	3.832455755507526	3.832455755507523	3.832455755507523	3.832455755507523	4.463803748905587	3.832455755507526
cgd1_1210-RA	4.453030804483815	3.832455755507526	3.832455755507523	4.418034900617806	3.832455755507523	3.832455755507526	3.832455755507526	4.340649973106039	3.832455755507523	3.832455755507523	3.832455755507523	3.832455755507526
cgd1_1240-RA	3.832455755507526	4.439606720890312	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.340649973106039	3.832455755507523	4.408114233712773	3.832455755507523	4.431837137305568
cgd1_1250-RA	3.832455755507526	3.832455755507526	4.8611041283824115	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	4.715715055934027	4.312231313413673	4.818477123749131	3.832455755507523	3.832455755507526
cgd1_1270-RA	3.832455755507526	4.439606720890312	3.832455755507523	3.832455755507526	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	4.312231313413673	4.408114233712773	4.463803748905587	3.832455755507526
cgd1_1280-RA	5.487785402108367	3.832455755507526	3.832455755507523	5.155493620595592	3.832455755507523	3.832455755507526	3.832455755507526	3.832455755507523	4.671652206978158	3.832455755507523	3.832455755507523	5.180234968943517
